,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orlando City SC,Pereyra,Mauricio,M,"$960,000.00 )","$1,078,000.00 )",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAFC,Perez,Josh,M-F,"$75,999.96 )","$75,999.96 )",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAFC,Perez,Adrien,F,"$56,250.00 )","$56,250.00 )",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAFC,Perez,Javier,M,"$56,250.00 )","$56,250.00 )",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Montreal Impact,Piatti,Ignacio,M-F,"$530,000.04 )","$4,443,333.37 )",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Philadelphia Union,Picault,Fafa,M-F,"$159,999.96 )","$173,666.63 )",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Montreal Impact,Piette,Samuel,D-M,"$135,000.00 )","$143,159.38 )",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DC United,Pines,Donovan,D,"$90,000.00 )","$102,000.00 )",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Salt Lake,Plata,Joao,M-F,"$725,004.00 )","$856,254.00 )",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlanta United,Pogba,Florentin,D,"$300,000.00 )","$324,000.00 )",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LA Galaxy,Polenta,Diego,D,"$687,276.00 )","$777,276.00 )",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Portland Timbers,Polo,Andy,M-F,"$150,000.00 )","$150,000.00 )",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Dallas,Pomykal,Paxton,M,"$99,999.96 )","$104,999.96 )",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LA Galaxy,Pontius,Chris,M-F,"$189,999.96 )","$189,999.96 )",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Salt Lake,Portillo,Justin,M,"$70,250.04 )","$70,250.04 )",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Cincinnati,Powell,Alvas,D,"$234,999.96 )","$251,624.96 )",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orlando City SC,Powers,Dillon,M,"$200,000.04 )","$200,000.04 )",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Toronto FC,Pozuelo,Alejandro,M-F,"$3,800,000.04 )","$3,800,000.04 )",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Colorado Rapids,Price,Jack,M,"$429,999.96 )","$437,499.96 )",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Philadelphia Union,Przybylko,Kacper,F,"$240,000.00 )","$277,000.00 )",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Salt Lake,Putna,Andrew,GK,"$70,875.00 )","$70,875.00 )",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,San Jose Earthquakes,Qazaishvili,"Valeri ""Vako""",M-F,"$1,475,004.00 )","$1,604,042.36 )",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Minnesota United,Quintero,Darwin,M-F,"$1,750,000.08 )","$1,750,000.08 )",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Houston Dynamo,Quioto,Romell,M-F,"$506,668.08 )","$556,501.41 )",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Colorado Rapids,Raben,Sam,D,"$70,250.04 )","$70,250.04 )",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Montreal Impact,Raitala,Jukka,D,"$250,000.08 )","$290,500.08 )",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Houston Dynamo,Ramirez,Christian,F,"$600,000.00 )","$666,250.00 )",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orlando City SC,Ranjitsingh,Gregory,GK,"$70,250.04 )","$70,250.04 )",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Colorado Rapids,Rawls,Andre,GK,"$72,360.84 )","$72,360.84 )",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Philadelphia Union,Real,Matthew,D,"$57,225.00 )","$57,225.00 )",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlanta United,Remedi,Eric,D-M,"$300,000.00 )","$300,000.00 )",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New England Revolution,Rennicks,Justin,F,"$80,000.04 )","$115,000.04 )",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vancouver Whitecaps,Reyna,Yordy,F,"$650,000.04 )","$713,140.04 )",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chicago Fire,Reynolds,Andre,D,"$56,250.00 )","$64,250.00 )",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Dallas,Reynolds,Bryan,F,"$70,250.04 )","$70,250.04 )",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Cincinnati,Richey,Spencer,GK,"$71,666.88 )","$71,666.88 )",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vancouver Whitecaps,Ricketts,Tosaint,F,"$70,250.04 )","$70,250.04 )",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Salt Lake,Rimando,Nick,GK,"$300,000.00 )","$322,500.00 )",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New York City FC,Ring,Alexander,M,"$849,999.96 )","$944,999.96 )",,,,,,,,,
,,,,,,FC Dallas,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,Roberts,Thomas,"$109,999.92 )","$137,999.92 )",,,,,
,,,,,,Orlando City SC,,,,,,,,M-F,,,,,,,,,,,,,,,,,,,,,,,,,Robinho,,"$198,000.00 )","$205,500.00 )",,,,,
,,,,,,Atlanta United,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,Robinson,Miles,"$145,000.08 )","$201,250.08 )",,,,,
,,,,,,DC United,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,Robinson,Jalen,"$80,004.00 )","$80,004.00 )",,,,,
,,,,,,New York Red Bulls,,,,,,,,GK,,,,,,,,,,,,,,,,,,,,,,,,,Robles,Luis,"$490,000.08 )","$490,000.08 )",,,,,
,,,,,,New York City FC,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,Rocha,Tony,"$72,346.92 )","$72,346.92 )",,,,,
,,,,,,DC United,,,,,,,,M-F,,,,,,,,,,,,,,,,,,,,,,,,,Rodriguez,Lucas,"$261,999.96 )","$298,549.86 )",,,,,
,,,,,,Houston Dynamo,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,Rodriguez,Memo,"$70,250.04 )","$82,750.04 )",,,,,
,,,,,,Minnesota United,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,Rodriguez,Angelo,"$600,000.00 )","$667,187.50 )",,,,,
,,,,,,Seattle Sounders FC,,,,,,,,M-F,,,,,,,,,,,,,,,,,,,,,,,,,Rodriguez,Victor,"$999,999.96 )","$1,087,499.96 )",,,,,
,,,,,,LAFC,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,Rodriguez Bravo,Brian,"$700,000.08 )","$1,039,800.08 )",,,,,
,,,,,,Seattle Sounders FC,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,Roldan,Cristian,"$460,000.08 )","$596,541.68 )",,,,,
,,,,,,Seattle Sounders FC,,,,,,,,M-F,,,,,,,,,,,,,,,,,,,,,,,,,Roldan,Alex,"$57,225.00 )","$57,225.00 )",,,,,
,,,,,,LA Galaxy,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,Romney,Dave,"$102,000.00 )","$118,950.00 )",,,,,
,,,,,,Columbus Crew,,,,,,,,GK,,,,,,,,,,,,,,,,,,,,,,,,,Room,Eloy,"$300,000.00 )","$354,694.33 )",,,,,
,,,,,,DC United,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,Rooney,Wayne,"$3,500,000.04 )","$3,507,500.04 )",,,,,
,,,,,,Vancouver Whitecaps,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,Rose,Andy,"$192,500.04 )","$192,500.04 )",,,,,
,,,,,,Orlando City SC,,,,,,,,D-M,,,,,,,,,,,,,,,,,,,,,,,,,Rosell,Oriol,"$522,499.92 )","$522,499.92 )",,,,,
,,,,,,Colorado Rapids,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,Rosenberry,Keegan,"$151,194.96 )","$164,944.96 )",,,,,
,,,,,,LAFC,,,,,,,,M-F,,,,,,,,,,,,,,,,,,,,,,,,,Rossi,Diego,"$1,000,000.08 )","$1,052,000.08 )",,,,,
,,,,,,Orlando City SC,,,,,,,,GK,,,,,,,,,,,,,,,,,,,,,,,,,Rowe,Brian,"$95,000.04 )","$98,000.04 )",,,,,
,,,,,,Real Salt Lake,,,,,,,,M-F,,,,,,,,,,,,,,,,,,,,,,,,,Rowe,Kelyn,"$261,399.96 )","$326,399.96 )",,,,,
,,,,,,New York Red Bulls,,,,,,,,M-F,,,,,,,,,,,,,,,,,,,,,,,,,Royer,Daniel,"$699,999.96 )","$768,749.96 )",,,,,
,,,,,,Colorado Rapids,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,Rubio Kostner,Diego,"$324,999.96 )","$353,749.96 )",,,,,
,,,,,,Seattle Sounders FC,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,Ruidiaz,Raul,"$2,000,004.00 )","$2,000,004.00 )",,,,,
,,,,,,Real Salt Lake,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,Ruiz,Pablo,"$200,004.00 )","$221,004.00 )",,,,,
,,,,,,Real Salt Lake,,,,,,,,M-F,,,,,,,,,,,,,,,,,,,,,,,,,Rusnak,Albert,"$1,800,000.00 )","$2,001,666.67 )",,,,,
,,,,,,Sporting Kansas City,,,,,,,,M-F,,,,,,,,,,,,,,,,,,,,,,,,,Russell,Johnny,"$1,449,999.96 )","$1,449,999.96 )",,,,,
,,,,,,Colorado Rapids,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,Rwatubyaye,Abdul,"$56,250.00 )","$62,625.00 )",,,,,
,,,,,,New York Red Bulls,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,Rzatkowski,Marc,"$300,000.00 )","$341,666.67 )",,,,,
,,,,,,Montreal Impact,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,Sagna,Bacary,"$660,000.00 )","$705,000.00 )",,,,,
,,,,,,Houston Dynamo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Salazar,Michael,"$70,250.04 )","$70,250.04 )",,,,,
,,,,,,San Jose Earthquakes,,,,,,,,M-F,,,,,,,,,,,,,,,,,,,,,,,,,Salinas,Shea,"$249,999.96 )","$249,999.96 )",,,,,
,,,,,,Sporting Kansas City,,,,,,,,M-F,,,,,,,,,,,,,,,,,,,,,,,,,Salloi,Daniel,"$129,999.96 )","$139,624.96 )",,,,,
,,,,,,Chicago Fire,,,,,,,,GK,,,,,,,,,,,,,,,,,,,,,,,,,Sanchez,Richard,"$150,000.00 )","$152,500.00 )",,,,,
,,,,,,Sporting Kansas City,,,,,,,,D-M,,,,,,,,,,,,,,,,,,,,,,,,,Sanchez,Ilie,"$900,000.00 )","$900,000.00 )",,,,,
,,,,,,New York City FC,,,,,,,,D-M,,,,,,,,,,,,,,,,,,,,,,,,,Sands,James,"$105,000.00 )","$105,000.00 )",,,,,
,,,,,,Orlando City SC,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,Sane,Lamine,"$902,499.96 )","$949,999.96 )",,,,,
,,,,,,Columbus Crew,,,,,,,,M-F,,,,,,,,,,,,,,,,,,,,,,,,,Santos,Pedro,"$817,560.00 )","$864,560.00 )",,,,,
,,,,,,Philadelphia Union,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,Santos,Sergio,"$600,000.00 )","$668,500.00 )",,,,,
,,,,,,Chicago Fire,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,Sapong,CJ,"$475,000.08 )","$475,000.08 )",,,,,
,,,,,,Real Salt Lake,,,,,,,,M-F,,,,,,,,,,,,,,,,,,,,,,,,,Saucedo,Sebastian,"$112,500.00 )","$123,000.00 )",,,,,
,,,,,,Real Salt Lake,,,,,,,,M-F,,,,,,,,,,,,,,,,,,,,,,,,,Savarino,Jefferson,"$475,008.00 )","$498,695.65 )",,,,,
,,,,,,New York City FC,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,Scally,Joe,"$56,250.00 )","$78,066.67 )",,,,,
,,,,,,Real Salt Lake,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,Schmitt,Tate,"$70,250.04 )","$70,250.04 )",,,,,
,,,,,,Minnesota United,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,Schuller,Rasmus,"$275,004.00 )","$300,004.00 )",,,,,
,,,,,,Chicago Fire,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,Schweinsteiger,Bastian,"$5,600,000.04 )","$5,600,000.04 )",,,,,
,,,,,,FC Dallas,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,Sealy,Dante,"$80,000.04 )","$108,400.04 )",,,,,
,,,,,,DC United,,,,,,,,M-F,,,,,,,,,,,,,,,,,,,,,,,,,Segura,Ulises,"$169,999.92 )","$184,249.92 )",,,,,
,,,,,,LAFC,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,Segura,Eddie,"$199,999.92 )","$223,999.92 )",,,,,
,,,,,,DC United,,,,,,,,GK,,,,,,,,,,,,,,,,,,,,,,,,,Seitz,Chris,"$165,000.00 )","$165,000.00 )",,,,,
,,,,,,Montreal Impact,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,Sejdic,Amar,"$56,250.00 )","$56,250.00 )",,,,,
,,,,,,Colorado Rapids,,,,,,,,M-F,,,,,,,,,,,,,,,,,,,,,,,,,Serna,Dillon,"$120,000.00 )","$120,000.00 )",,,,,
,,,,,,FC Dallas,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,Servania,Brandon,"$160,000.08 )","$211,000.08 )",,,,,
,,,,,,Toronto FC,,,,,,,,M-F,,,,,,,,,,,,,,,,,,,,,,,,,Shaffelburg,Jacob,"$56,250.00 )","$62,750.00 )",,,,,
,,,,,,Atlanta United,,,,,,,,D-M,,,,,,,,,,,,,,,,,,,,,,,,,Shea,Brek,"$225,000.00 )","$225,000.00 )",,,,,
,,,,,,Colorado Rapids,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,Shinyashiki,Andre,"$84,999.96 )","$94,999.96 )",,,,,
,,,,,,Seattle Sounders FC,,,,,,,,M-F,,,,,,,,,,,,,,,,,,,,,,,,,Shipp,Harry,"$234,999.96 )","$234,999.96 )",,,,,
,,,,,,Montreal Impact,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,Shome,Shamit,"$100,000.08 )","$120,000.08 )",,,,,
,,,,,,Minnesota United,,,,,,,,GK,,,,,,,,,,,,,,,,,,,,,,,,,Shuttleworth,Bobby,"$174,999.96 )","$191,874.96 )",,,,,
,,,,,,LAFC,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,Silva,Danilo,"$200,000.04 )","$200,000.04 )",,,,,
,,,,,,Real Salt Lake,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,Silva,Marcelo,"$725,004.00 )","$776,629.00 )",,,,,
,,,,,,Seattle Sounders FC,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,Silva,Luis,"$70,250.04 )","$70,250.04 )",,,,,
,,,,,,New York Red Bulls,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,Sims,Josh,"$695,967.96 )","$710,467.96 )",,,,,
,,,,,,Sporting Kansas City,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,Sinovic,Seth,"$135,000.00 )","$143,000.00 )",,,,,
,,,,,,LAFC,,,,,,,,GK,,,,,,,,,,,,,,,,,,,,,,,,,Sisniega,Pablo,"$105,000.00 )","$105,000.00 )",,,,,
,,,,,,Colorado Rapids,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,Sjoberg,Axel,"$174,996.00 )","$179,996.00 )",,,,,
,,,,,,LA Galaxy,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,Skjelvik,Jorgen,"$999,999.96 )","$1,066,666.63 )",,,,,
,,,,,,Chicago Fire,,,,,,,,GK,,,,,,,,,,,,,,,,,,,,,,,,,Slonina,Gabriel,"$60,000.00 )","$74,800.00 )",,,,,
,,,,,,Colorado Rapids,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,Smith,Tommy,"$600,000.00 )","$640,000.00 )",,,,,
,,,,,,Major League Soccer,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,Smith,Blake,"$70,250.04 )","$70,250.04 )",,,,,
,,,,,,Orlando City SC,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,Smith,Kyle,"$70,250.04 )","$70,250.04 )",,,,,
,,,,,,Seattle Sounders FC,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,Smith,Brad,"$529,092.00 )","$549,092.00 )",,,,,
,,,,,,Sporting Kansas City,,,,,,,,D-M,,,,,,,,,,,,,,,,,,,,,,,,,Smith,Graham,"$57,225.00 )","$57,225.00 )",,,,,
,,,,,,Columbus Crew,,,,,,,,M-F,,,,,,,,,,,,,,,,,,,,,,,,,Sosa,Eduardo,"$99,999.96 )","$120,199.96 )",,,,,
,,,,,,Minnesota United,,,,,,,,GK,,,,,,,,,,,,,,,,,,,,,,,,,St. Clair,Dayne,"$70,250.04 )","$74,753.17 )",,,,,
,,,,,,Orlando City SC,,,,,,,,GK,,,,,,,,,,,,,,,,,,,,,,,,,Stajduhar,Mason,"$70,875.00 )","$70,875.00 )",,,,,
,,,,,,FC Cincinnati,,,,,,,,D-M,,,,,,,,,,,,,,,,,,,,,,,,,Stanko,Caleb,"$337,500.00 )","$390,833.33 )",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GK,,,,,,,,,,,,,New York City FC,Stuver,Brad,"$99,999.96 )","$99,999.96 )"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,Vancouver Whitecaps,Sutter,Scott,"$155,000.04 )","$170,177.04 )"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D-M,,,,,,,,,,,,,Seattle Sounders FC,Svensson,Gustav,"$570,000.00 )","$600,000.00 )"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,New York City FC,Sweat,Ben,"$200,000.04 )","$200,000.04 )"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M-F,,,,,,,,,,,,,Montreal Impact,Tabla,Ballou,"$70,250.04 )","$70,250.04 )"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,,,,Montreal Impact,Taider,Saphir,"$1,400,000.04 )","$1,400,000.04 )"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M-F,,,,,,,,,,,,,New York City FC,Tajouri-Shradi,Ismael,"$350,000.04 )","$380,500.04 )"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GK,,,,,,,,,,,,,San Jose Earthquakes,Tarbell,Andrew,"$200,000.04 )","$235,000.04 )"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,New York Red Bulls,Tarek,Amro,"$150,000.00 )","$156,250.00 )"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D-M,,,,,,,,,,,,,Vancouver Whitecaps,Teibert,Russell,"$170,000.04 )","$190,000.04 )"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,Orlando City SC,Teixeira,Ruan,"$159,999.96 )","$159,999.96 )"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M-F,,,,,,,,,,,,,Toronto FC,Telfer,Ryan,"$70,250.04 )","$70,250.04 )"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,San Jose Earthquakes,Thompson,Tommy,"$174,999.96 )","$174,999.96 )"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,New York City FC,Tinnerholm,Anton,"$496,800.00 )","$546,800.00 )"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,Real Salt Lake,Toia,Donny,"$131,254.20 )","$131,254.20 )"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,Seattle Sounders FC,Tolo,Nouhou,"$84,000.00 )","$84,000.00 )"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,,,,New York City FC,Torres,Juan Pablo,"$70,250.04 )","$84,750.04 )"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,Seattle Sounders FC,Torres,Roman,"$670,000.08 )","$740,000.08 )"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,Minnesota United,Toye,Mason,"$135,000.00 )","$188,000.00 )"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,LA Galaxy,Traore,Diedie,"$56,250.00 )","$56,250.00 )"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,,,,Columbus Crew,Trapp,Wil,"$549,996.00 )","$593,746.00 )"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,Philadelphia Union,Trusty,Auston,"$95,000.04 )","$124,100.04 )"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D-M,,,,,,,,,,,,,Portland Timbers,Tuiloma,Bill,"$100,008.00 )","$107,508.00 )"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GK,,,,,,,,,,,,,New England Revolution,Turner,Matt,"$75,937.56 )","$75,937.56 )"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M-F,,,,,,,,,,,,,FC Dallas,Twumasi,Ema,"$150,000.00 )","$196,900.00 )"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GK,,,,,,,,,,,,,FC Cincinnati,Tyton,Przemyslaw,"$231,750.00 )","$328,438.00 )"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D-M,,,,,,,,,,,,,FC Cincinnati,Ulloa,Victor,"$210,000.00 )","$212,500.00 )"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,Montreal Impact,Urruti,Maximiliano,"$900,000.00 )","$1,071,000.00 )"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,Portland Timbers,Valentin,Zarek,"$159,999.96 )","$159,999.96 )"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,Columbus Crew,Valenzuela,Milton,"$290,000.04 )","$321,300.04 )"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M-F,,,,,,,,,,,,,Portland Timbers,Valeri,Diego,"$2,319,999.96 )","$2,419,999.96 )"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M-F,,,,,,,,,,,,,New York Red Bulls,Valot,Florian,"$70,872.00 )","$74,508.45 )"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,FC Cincinnati,Van Der Werff,Maikel,"$549,999.96 )","$635,166.63 )"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M-F,,,,,,,,,,,,,Montreal Impact,Vargas,Jeisson,"$225,000.00 )","$225,000.00 )"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M-F,,,,,,,,,,,,,LAFC,Vassell,Peter,"$70,250.04 )","$72,750.04 )"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,Atlanta United,Vazquez,Brandon,"$150,000.00 )","$166,000.00 )"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,Real Salt Lake,Vazquez,Julian,"$56,250.00 )","$66,250.00 )"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GK,,,,,,,,,,,,,San Jose Earthquakes,Vega,Daniel,"$200,000.04 )","$210,000.04 )"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M-F,,,,,,,,,,,,,LAFC,Vela,Carlos,"$4,500,000.00 )","$6,300,000.00 )"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D-M,,,,,,,,,,,,,Houston Dynamo,Vera,Matias Gabriel,"$225,000.00 )","$231,250.00 )"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,Portland Timbers,Villafaña,Jorge,"$600,000.00 )","$617,500.00 )"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M-F,,,,,,,,,,,,,Atlanta United,Villalba,Hector,"$722,499.96 )","$830,249.96 )"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,Colorado Rapids,Vines,Sam,"$80,000.04 )","$81,250.04 )"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GK,,,,,,,,,,,,,LA Galaxy,Vom Steeg,Justin,"$57,225.00 )","$57,225.00 )"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,Philadelphia Union,Wagner,Kai,"$318,000.00 )","$360,150.00 )"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,,,,Sporting Kansas City,Wallace,Rodney,"$360,000.00 )","$360,000.00 )"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,FC Cincinnati,Waston,Kendall,"$750,000.00 )","$776,666.67 )"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GK,,,,,,,,,,,,,Toronto FC,Westberg,Quentin,"$100,000.08 )","$115,254.08 )"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,New York Red Bulls,White,Brian,"$57,225.00 )","$57,225.00 )"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,DC United,Wild,Gordon,"$99,999.96 )","$129,999.96 )"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,Columbus Crew,Williams,Romario,"$78,650.04 )","$78,650.04 )"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,Columbus Crew,Williams,Josh,"$215,000.04 )","$215,000.04 )"
